Lambda,Learning Rate,Train Accuracy,Valid Accuracy
0,0.01,64,0.9437500000000001,0.9319999999999999
0,0.01,512,0.9177500000000001,0.9079999999999999
0,0.03,64,0.9492499999999999,0.9299999999999999
0,0.03,512,0.9452500000000001,0.923
0,0.1,64,0.9495,0.9249999999999998
0,0.1,512,0.9564999999999999,0.9369999999999998
0,0.3,64,0.94675,0.933
0,0.3,512,0.9557500000000001,0.929
0.01,0.01,64,0.9435,0.942
0.01,0.01,512,0.94575,0.9369999999999998
0.01,0.03,64,0.9385000000000001,0.938
0.01,0.03,512,0.9492500000000001,0.944
0.01,0.1,64,0.929,0.9259999999999999
0.01,0.1,512,0.9480000000000001,0.944
0.01,0.3,64,0.92275,0.9149999999999998
0.01,0.3,512,0.9294999999999999,0.9389999999999998
0.02,0.01,64,0.9375,0.9390000000000001
0.02,0.01,512,0.9427500000000001,0.9410000000000001
0.02,0.03,64,0.94,0.9430000000000001
0.02,0.03,512,0.94525,0.944
0.02,0.1,64,0.91875,0.9199999999999999
0.02,0.1,512,0.9432499999999999,0.94
0.02,0.3,64,0.9212499999999999,0.9119999999999999
0.02,0.3,512,0.93525,0.931
